Title,Type,language,Date,Link
ع / عام / استشهاد شاب فلسطيني برصاص قوات الاحتلال الإسرائيلي شمال القدس المحتلة,عام,عربى,12/7/2024 13:59,https://spa.gov.sa/w2220661
ع / سياسي / سمو وزير الخارجية يلتقي رئيس مجلس الوزراء وزير خارجية دولة قطر,عام,عربى,12/7/2024 14:04,https://spa.gov.sa/w2220664
ع / علوم وتقنيات / فلكية جدة : كوكب المشتري في أقرب نقطة من الكرة الأرضية اليوم ,علوم و تقنيات,عربى,12/7/2024 14:21,https://spa.gov.sa/w2220673
ع / سياحة وترفيه / المملكة تحتل المركز الثالث عالميًا في نسبة نمو أعداد السياح الدوليين في الأشهر الثمانية إلى التسعة الأولى من عام 2024,سياحة و ترفية,عربى,12/7/2024 14:22,https://spa.gov.sa/w2220674
ع / سياسي / استشهاد عائلة فلسطينية في قصف إسرائيلي على مدينة غزة ,سياسي,عربى,12/7/2024 14:25,https://spa.gov.sa/w2220676
ع / عام / انطلاق المؤتمر الدولي الرابع لأبحاث جودة حياة الأشخاص ذوي الإعاقة غدًا,عام,عربى,12/7/2024 14:26,https://spa.gov.sa/w2220677
ع / عام / حرس الحدود بمنطقة جازان  يحبط تهريب (126) كيلوجرامًا من نبات القات المخدر,عام,عربى,12/7/2024 14:31,https://spa.gov.sa/w2220680
"ع / سياحة وترفيه / ""موسم الرياض"": مواجهة كبيرة ضمن POWER SLAP للمرة الأولى في السعودية ",سياحة و ترفية,عربى,12/7/2024 14:31,https://spa.gov.sa/w2220681
ع / عام / حرس الحدود بمنطقة جازان  يحبط تهريب (270) كيلوجرامًا من نبات القات المخدر,عام,عربى,12/7/2024 14:31,https://spa.gov.sa/w2220682
ع / سياسي / الأمين العام لمجلس التعاون يستقبل مبعوث سويسرا الخاص لمنطقة الشرق الأوسط وشمال أفريقيا,سياسي,عربى,12/7/2024 14:34,https://spa.gov.sa/w2220687
ع / رياضي / 8 انتصارات في انطلاق ممتاز ناشئي اليد,رياضي,عربى,12/7/2024 15:42,https://spa.gov.sa/w2220694
"ع / رياضي / التعادل عنوان قمة الخليج ومضر .. والصفا يستضيف الأهلي في ""ممتاز اليد""",رياضي,عربى,12/7/2024 15:45,https://spa.gov.sa/w2220695
ع / عام / مكافحة المخدرات تقبض على شخص بمحافظة طريف لترويجه مادة الإمفيتامين المخدر,عام,عربى,12/7/2024 15:45,https://spa.gov.sa/w2220696
ع / عام / مكافحة المخدرات تقبض على شخص بمنطقة تبوك لترويجه مواد مخدرة,عام,عربى,12/7/2024 15:45,https://spa.gov.sa/w2220697
"ع / سياحية وترفيه / مهرجان ""الحنيذ"" بمحايل عسير يواصل فعالياته وسط حضور لافت للزوار والسياح ",سياحة و ترفية,عربى,12/7/2024 16:08,https://spa.gov.sa/w2220712
ع / رياضي / حقبة جديدة ونهضة تاريخية تعيشها ملاعب كرة القدم في المملكة,رياضي,عربى,12/7/2024 16:11,https://spa.gov.sa/w2220717
ع / ثقافي / مجمع الملك سلمان العالمي للُّغة العربيَّة يحتفي باليوم العالمي للُّغة العربيَّة (2024م) في مقر الأمم المتحدة بنيويورك,ثقافي,عربى,12/7/2024 16:15,https://spa.gov.sa/w2220718
ع / اجتماعي / نائب أمير حائل يستقبل الأمين العام لمؤسسة الأميرة العنود الخيرية,إجتماعي,عربى,12/7/2024 16:17,https://spa.gov.sa/w2220719
ع / عام / دوريات الأفواج الأمنية بمنطقة عسير تقبض على شخص لترويجه نبات القات المخدر,عام,عربى,12/7/2024 16:18,https://spa.gov.sa/w2220721
ع / عام / حرس الحدود بمنطقة عسير يقبض على (3) مخالفين لنظام أمن الحدود لتهريبهم (75) كيلوجرامًا من نبات القات المخدر,عام,عربى,12/7/2024 16:19,https://spa.gov.sa/w2220722
ع / سياسي / الأمين العام لمجلس التعاون يؤكد ضرورة بذل الجهود المشتركة لضمان وتسهيل وصول المساعدات الإنسانية والإغاثية لقطاع غزة,سياسي,عربى,12/7/2024 16:29,https://spa.gov.sa/w2220727
ع / عام / تنفيذ حُكم القتل تعزيرًا بأحد الجناة في المنطقة الشرقية,عام,عربى,12/7/2024 16:34,https://spa.gov.sa/w2220728
"ع / سياحة وترفيه / ""كروز السعودية"" تستقبل سفينتها السياحية الأولى ""أرويا كروز"" في ميناء جدة الإسلامي",سياحة و ترفية,عربى,12/7/2024 16:43,https://spa.gov.sa/w2220731
ع / عام / مكافحة المخدرات تقبض على شخصين بمنطقة حائل لترويجهما أقراصًا خاضعة لتنظيم التداول الطبي,عام,عربى,12/7/2024 16:45,https://spa.gov.sa/w2220733
ع / اقتصادي / البورصة المصرية تربح 57.9 مليار جنيه في أسبوع ,اقتصادي,عربى,12/7/2024 16:46,https://spa.gov.sa/w2220734
"ع / ثقافي / "" أسبوع مسك للفنون"" بصالة الأمير فيصل بن فهد للفنون بالرياض منصة لتمكين الفنانين ",ثقافي,عربى,12/7/2024 16:48,https://spa.gov.sa/w2220735
ع / بيئي / القوة الخاصة لأمن الطرق بمنطقة القصيم تضبط مخالفًا لنظام البيئة,البيئة,عربى,12/7/2024 17:09,https://spa.gov.sa/w2220740
ع / سياسي / استشهاد فلسطيني في قصف إسرائيلي على شقة سكنية وسط قطاع غزة,سياسي,عربى,12/7/2024 17:16,https://spa.gov.sa/w2220741
